battery_id,framework_formula,primary_tm,formula_discharge,tm_eneg,tm_ionic_radius,tm_max_oxidation_state,anion_eneg,li_per_fu,spacegroup_number,crystal_system,volume_per_atom,density,polyanion_eneg,structure_prototype,tm_oxidation_discharge,average_voltage,max_delta_volume
mp-1013874_Na,Ti3P3O13,Ti,NaTi3P3O13,1.54,1.4,4.0,3.44,0.0,11,2,13.3473,2.9106,2.19,0,3.5,2.085293,0.003264
mp-1210001_Na,Ti4(CuO4)3,Ti,NaTi4(CuO4)3,1.6943,1.3786,3.1429,3.44,0.0,204,7,10.6586,4.7074,0.0,0,4.0,3.405811,0.012795
mp-757603_Na,Ti4O9,Ti,Na13Ti24O54,1.54,1.4,4.0,3.44,0.0,2,1,13.8744,3.0884,0.0,0,3.5,1.537549,0.000129
mp-757229_Na,TiO2,Ti,Na5Ti16O32,1.54,1.4,4.0,3.44,0.0,62,3,13.3267,3.3172,0.0,1,3.5,1.716855,0.01989
mp-17461_Na,TiP2O7,Ti,NaTiP2O7,1.54,1.4,4.0,3.44,0.0,14,2,13.2548,2.7788,2.19,0,3.0,1.773142,0.037648
mp-767550_Na,TiPCO7,Ti,Na2TiPCO7,1.54,1.4,4.0,3.44,0.0,4,2,16.0833,2.0943,2.19,0,3.0,1.543267,0.023046
mp-2156_Na,TiS2,Ti,NaTiS2,1.54,1.4,4.0,2.58,0.0,164,5,21.6354,2.8653,2.58,0,4.0,1.537476,0.146016
mp-558048_Na,V(GeO3)2,V,NaV(GeO3)2,1.63,1.35,5.0,3.44,0.0,15,2,13.1703,4.0937,2.01,4,3.0,3.156789,0.031406
mp-19482_Na,V(PO4)2,V,Na2V(PO4)2,1.63,1.35,5.0,3.44,0.0,14,2,14.7334,2.4681,2.19,0,4.0,3.870449,0.032724
mp-19287_Na,V(SiO3)2,V,NaV(SiO3)2,1.63,1.35,5.0,3.44,0.0,2,1,11.8156,3.1716,1.9,0,3.0,3.032067,0.05188
mp-760173_Na,V12O29,V,Na3V24O58,1.63,1.35,5.0,3.44,0.0,12,2,12.8501,3.3891,0.0,4,4.5,3.77144,0.027985
