tm_eneg,tm_ionic_radius,tm_max_oxidation_state,anion_eneg,li_per_fu,spacegroup_number,crystal_system,volume_per_atom,density,neg_avg_voltage,max_delta_volume
1.83,1.4,3.0,3.44,2.0,11,2,12.8241,3.9331,,
1.83,1.4,3.0,3.44,1.0,129,4,18.4185,4.3679,,
2.16,1.45,6.0,3.44,3.0,230,7,13.9754,4.2061,-3.371985,0.002389
1.55,1.4,7.0,3.44,1.0,121,4,18.1333,2.6758,-3.477185,0.004021
1.88,1.35,3.0,3.44,3.0,14,2,18.6141,2.5632,,
1.91,1.35,2.0,3.44,3.0,1,1,18.2424,2.6123,-3.421978,0.026262
1.55,1.4,7.0,3.44,1.0,4,2,15.2648,2.4626,,
1.58,1.4,4.6667,3.44,1.0,4,2,12.6098,5.3571,-3.590478,0.008518
1.55,1.4,7.0,3.44,1.0,4,2,13.6784,6.4413,,
1.88,1.35,3.0,3.44,1.0,141,4,13.9304,6.8088,,
1.83,1.4,3.0,3.44,1.0,65,3,14.2546,6.6262,-3.367874,0.024438
1.55,1.4,7.0,3.44,1.0,141,4,14.2404,6.6247,-3.525158,0.02463
1.91,1.35,2.0,3.44,1.0,65,3,13.9252,6.8091,,
1.83,1.4,3.0,3.44,3.0,8,2,14.8472,5.9948,,
1.91,1.35,2.0,3.44,13.0,1,1,11.347,4.295,,
1.91,1.35,2.0,3.44,3.0,166,5,10.7164,4.6137,,
1.55,1.4,7.0,3.44,1.0,160,5,11.2514,3.876,,
1.88,1.35,3.0,3.44,14.0,1,1,11.6245,4.212,,
1.88,1.35,3.0,3.44,4.0,166,5,11.5529,3.9419,,
1.66,1.4,6.0,3.44,2.0,146,5,13.1851,2.8028,,
1.66,1.4,6.0,3.44,1.0,1,1,13.6467,3.0437,,
1.66,1.4,6.0,3.44,2.0,1,1,13.879,3.1577,,
1.66,1.4,6.0,3.44,1.0,1,1,13.0572,2.882,,
1.91,1.35,2.0,3.44,4.0,166,5,11.3091,4.0181,,
1.55,1.4,7.0,3.44,3.0,14,2,12.1368,2.6232,,
1.55,1.4,7.0,3.44,1.0,148,5,11.4841,2.8109,,
1.55,1.4,7.0,3.44,5.0,7,2,14.2222,2.0259,,
1.814,1.36,3.8,3.44,3.0,2,1,10.3497,5.1671,,
1.77,1.3667,4.3333,3.44,3.0,12,2,11.2608,4.4042,,
1.79,1.3667,3.6667,3.44,3.0,5,2,11.8005,4.1953,,
1.55,1.4,7.0,3.98,8.0,1,1,19.285,1.9304,-4.53358,0.061226
1.55,1.4,7.0,3.44,1.0,2,1,13.5598,2.7493,,
