battery_id,framework_formula,primary_tm,formula_discharge,tm_eneg,tm_ionic_radius,tm_max_oxidation_state,anion_eneg,li_per_fu,spacegroup_number,crystal_system,volume_per_atom,density,polyanion_eneg,structure_prototype,tm_oxidation_discharge,average_voltage,max_delta_volume
mp-766489_Li,Mn2Fe(BO3)4,Mn,Li5Mn2Fe(BO3)4,1.6433,1.4,5.6667,3.44,5.0,7,2,12.2141,2.869,2.04,0,3.0,2.95697,0.020469
mp-776051_Li,Mn2Fe(PO4)3,Mn,Li2Mn2Fe(PO4)3,1.6433,1.4,5.6667,3.44,2.0,167,5,12.3605,3.3633,2.19,5,2.3333,3.741861,0.062672
mp-761441_Li,Mn2Fe3Co3O16,Fe,Li10Mn2Fe3Co3O16,1.7788,1.3813,4.0,3.44,10.0,8,2,10.6113,4.6307,0.0,0,3.5,3.197116,0.201872
mp-764933_Li,Mn2Fe3Ni3O16,Fe,Li10Mn2Fe3Ni3O16,1.79,1.3813,3.625,3.44,10.0,8,2,11.4071,4.3033,0.0,0,2.6,2.985538,0.100551
mp-850538_Li,Mn2Fe3Sn(PO4)6,Fe,Li4Mn2Fe3Sn(PO4)6,1.718,1.4,4.6,3.44,4.0,146,5,12.8678,3.4625,2.19,0,2.6667,2.872942,0.058139
mp-752751_Li,Mn2FeO6,Mn,Li3Mn4(FeO6)2,1.6433,1.4,5.6667,3.44,3.0,2,1,11.9921,4.0267,0.0,0,3.0,4.523036,0.027157
mp-776611_Li,Mn2NbNi3(PO4)6,Ni,Li4Mn2NbNi3(PO4)6,1.766,1.37,4.0,3.44,4.0,146,5,12.8742,3.399,2.19,0,2.0,3.453628,0.024691
mp-759483_Li,Mn2Ni(PO4)3,Mn,Li2Mn2Ni(PO4)3,1.67,1.3833,5.3333,3.44,2.0,167,5,12.0453,3.4731,2.19,5,3.0,3.675562,0.068415
mp-754927_Li,Mn2Ni3O10,Ni,Li5Mn2Ni3O10,1.766,1.37,4.0,3.44,5.0,2,1,11.6948,4.2213,0.0,0,3.0,4.354067,0.012854
mp-758846_Li,Mn2Ni5O12,Ni,Li5Mn2Ni5O12,1.8071,1.3643,3.4286,3.44,5.0,5,2,11.016,4.7232,0.0,0,3.0,3.88712,0.005156
mp-756831_Li,Mn2NiO6,Mn,Li3Mn2NiO6,1.67,1.3833,5.3333,3.44,3.0,2,1,11.793,4.1392,0.0,0,3.0,3.379427,0.043119
mp-753835_Li,Mn2O3F,Mn,LiMn2O3F,1.55,1.4,7.0,3.98,1.0,62,3,12.6697,3.8636,0.0,1,3.0,4.049938,0.034444
mp-754070_Li,Mn2OF3,Mn,LiMn2OF3,1.55,1.4,7.0,3.98,1.0,62,3,13.7117,3.6911,0.0,1,2.5,3.052509,0.088561
mp-770546_Li,Mn2P2O7F2,Mn,Li2Mn2P2O7F2,1.55,1.4,7.0,3.98,2.0,60,3,14.4773,2.8394,2.19,0,2.0,5.092547,0.063433
mp-1040954_Li,Mn2P2O9,Mn,LiMn2P2O9,1.55,1.4,7.0,3.44,1.0,62,3,12.6775,3.1821,2.19,1,4.0,4.715634,0.000548
mp-26977_Li,Mn2P3O10,Mn,LiMn2P3O10,1.55,1.4,7.0,3.44,1.0,11,2,12.3566,3.2502,2.19,0,2.0,4.387213,0.017699
mp-25829_Li,Mn2P3O11,Mn,LiMn2P3O11,1.55,1.4,7.0,3.44,1.0,15,2,12.6818,3.0999,2.19,4,3.0,4.240917,0.003105
mp-763324_Li,Mn2P4H3O16,Mn,Li4Mn2P4H3O16,1.55,1.4,7.0,3.44,4.0,1,1,11.5077,2.8443,2.19,0,3.5,4.351618,0.081545
mp-754573_Li,Mn2Si2O7,Mn,Li2Mn2Si2O7,1.55,1.4,7.0,3.44,2.0,63,3,12.6978,3.3055,1.9,0,2.5,3.196446,0.052737
mp-757670_Li,Mn2Si3O10,Mn,Li4Mn2Si3O10,1.55,1.4,7.0,3.44,4.0,9,2,14.3101,2.7395,1.9,0,2.0,3.345647,0.005446
mp-760844_Li,Mn2V3O12,V,Li4Mn2V3O12,1.598,1.37,5.8,3.44,4.0,14,2,14.2068,3.1262,0.0,0,3.3333,3.924227,0.091709
mp-759208_Li,Mn2VNi3(PO4)6,Ni,Li4Mn2VNi3(PO4)6,1.7433,1.3667,4.1667,3.44,4.0,146,5,12.5003,3.3458,2.19,0,3.3333,3.974795,0.02619
mp-766488_Li,Mn3(BO3)4,Mn,Li5Mn3(BO3)4,1.55,1.4,7.0,3.44,5.0,7,2,12.2726,2.8489,2.04,0,3.0,3.298351,0.022253
mp-753542_Li,Mn3(FeO5)2,Mn,Li5Mn3(FeO5)2,1.662,1.4,5.4,3.44,5.0,2,1,12.562,3.8466,0.0,0,3.3333,3.215108,0.010287
mp-32027_Li,Mn3(P2O7)2,Mn,Li2Mn3(P2O7)2,1.55,1.4,7.0,3.44,2.0,2,1,12.5642,3.2267,2.19,0,2.0,4.239663,0.025904
mp-697730_Li,Mn3(PO4)4,Mn,Li3Mn3(PO4)4,1.55,1.4,7.0,3.44,3.0,15,2,14.2103,2.7674,2.19,4,4.0,4.816141,0.0212
mp-773051_Li,Mn3(SeO3)4,Mn,Li2Mn3(SeO3)4,1.55,1.4,7.0,3.44,2.0,2,1,15.6748,3.7504,0.0,0,2.0,3.8308,0.026766
mp-755397_Li,Mn3(SnO5)2,Mn,Li5Mn3(SnO5)2,1.55,1.4,7.0,3.44,5.0,2,1,13.964,4.4572,0.0,0,2.5,3.010889,0.002483
mp-757412_Li,Mn3Co(PO4)4,Mn,Li4Mn3Co(PO4)4,1.6325,1.3875,6.0,3.44,4.0,6,2,12.0688,3.4606,2.19,0,3.0,4.160326,0.061964
